bopomofo,pinyin,hu_yin,she2_yin,hu_yin_label,she2_yin_label,class_label
ㄌㄢ,lan,開口呼,舌尖音,1,2,4
ㄍㄢ,gan,開口呼,舌根音,1,3,5
ㄎㄢ,kan,開口呼,舌根音,1,3,5
ㄏㄢ,han,開口呼,舌根音,1,3,5
ㄓㄢ,zhan,開口呼,翹舌音,1,5,6
ㄔㄢ,chan,開口呼,翹舌音,1,5,6
ㄕㄢ,shan,開口呼,翹舌音,1,5,6
ㄖㄢ,ran,開口呼,翹舌音,1,5,6
ㄗㄢ,zan,開口呼,平舌音,1,6,7
ㄘㄢ,can,開口呼,平舌音,1,6,7
ㄙㄢ,san,開口呼,平舌音,1,6,7
ㄣ,en,開口呼,純韻符,1,0,2
ㄅㄣ,ben,開口呼,口唇音,1,1,3
ㄆㄣ,pen,開口呼,口唇音,1,1,3
ㄇㄣ,men,開口呼,口唇音,1,1,3
ㄈㄣ,fen,開口呼,口唇音,1,1,3
ㄋㄣ,nen,開口呼,舌尖音,1,2,4
ㄍㄣ,gen,開口呼,舌根音,1,3,5
ㄎㄣ,ken,開口呼,舌根音,1,3,5
ㄏㄣ,hen,開口呼,舌根音,1,3,5
ㄓㄣ,zhen,開口呼,翹舌音,1,5,6
ㄔㄣ,chen,開口呼,翹舌音,1,5,6
ㄕㄣ,shen,開口呼,翹舌音,1,5,6
ㄖㄣ,ren,開口呼,翹舌音,1,5,6
ㄗㄣ,zen,開口呼,平舌音,1,6,7
ㄘㄣ,cen,開口呼,平舌音,1,6,7
ㄙㄣ,sen,開口呼,平舌音,1,6,7
ㄤ,ang,開口呼,純韻符,1,0,2
ㄅㄤ,bang,開口呼,口唇音,1,1,3
ㄆㄤ,pang,開口呼,口唇音,1,1,3
ㄇㄤ,mang,開口呼,口唇音,1,1,3
ㄈㄤ,fang,開口呼,口唇音,1,1,3
ㄉㄤ,dang,開口呼,舌尖音,1,2,4
ㄊㄤ,tang,開口呼,舌尖音,1,2,4
ㄋㄤ,nang,開口呼,舌尖音,1,2,4
ㄌㄤ,lang,開口呼,舌尖音,1,2,4
ㄍㄤ,gang,開口呼,舌根音,1,3,5
ㄎㄤ,kang,開口呼,舌根音,1,3,5
ㄏㄤ,hang,開口呼,舌根音,1,3,5
ㄓㄤ,zhang,開口呼,翹舌音,1,5,6
ㄔㄤ,chang,開口呼,翹舌音,1,5,6
ㄕㄤ,shang,開口呼,翹舌音,1,5,6
ㄖㄤ,rang,開口呼,翹舌音,1,5,6
ㄗㄤ,zang,開口呼,平舌音,1,6,7
ㄘㄤ,cang,開口呼,平舌音,1,6,7
ㄙㄤ,sang,開口呼,平舌音,1,6,7
ㄥ,eng,開口呼,純韻符,1,0,2
ㄅㄥ,beng,開口呼,口唇音,1,1,3
ㄆㄥ,peng,開口呼,口唇音,1,1,3
ㄇㄥ,meng,開口呼,口唇音,1,1,3
ㄈㄥ,feng,開口呼,口唇音,1,1,3
ㄉㄥ,deng,開口呼,舌尖音,1,2,4
ㄊㄥ,teng,開口呼,舌尖音,1,2,4
ㄋㄥ,neng,開口呼,舌尖音,1,2,4
ㄌㄥ,leng,開口呼,舌尖音,1,2,4
ㄍㄥ,geng,開口呼,舌根音,1,3,5
ㄎㄥ,keng,開口呼,舌根音,1,3,5
ㄏㄥ,heng,開口呼,舌根音,1,3,5
ㄓㄥ,zheng,開口呼,翹舌音,1,5,6
ㄔㄥ,cheng,開口呼,翹舌音,1,5,6
ㄕㄥ,sheng,開口呼,翹舌音,1,5,6
ㄖㄥ,reng,開口呼,翹舌音,1,5,6
ㄗㄥ,zeng,開口呼,平舌音,1,6,7
ㄘㄥ,ceng,開口呼,平舌音,1,6,7
ㄙㄥ,seng,開口呼,平舌音,1,6,7
ㄦ,er,開口呼,純韻符,1,0,2
ㄧ,yi,齊齒呼,純韻符,2,0,8
ㄅㄧ,bi,齊齒呼,口唇音,2,1,9
ㄆㄧ,pi,齊齒呼,口唇音,2,1,9
ㄇㄧ,mi,齊齒呼,口唇音,2,1,9
ㄉㄧ,di,齊齒呼,舌尖音,2,2,10
ㄊㄧ,ti,齊齒呼,舌尖音,2,2,10
ㄋㄧ,ni,齊齒呼,舌尖音,2,2,10
ㄌㄧ,li,齊齒呼,舌尖音,2,2,10
ㄐㄧ,ji,齊齒呼,舌面音,2,4,11
ㄑㄧ,qi,齊齒呼,舌面音,2,4,11
ㄒㄧ,xi,齊齒呼,舌面音,2,4,11
ㄧㄚ,ya,齊齒呼,純韻符,2,0,8
ㄌㄧㄚ,lia,齊齒呼,舌尖音,2,2,10
ㄐㄧㄚ,jia,齊齒呼,舌面音,2,4,11
ㄑㄧㄚ,qia,齊齒呼,舌面音,2,4,11
ㄒㄧㄚ,xia,齊齒呼,舌面音,2,4,11
ㄧㄛ,yo,齊齒呼,純韻符,2,0,8
ㄧㄝ,ye,齊齒呼,純韻符,2,0,8
ㄅㄧㄝ,bie,齊齒呼,口唇音,2,1,9
ㄆㄧㄝ,pie,齊齒呼,口唇音,2,1,9
ㄇㄧㄝ,mie,齊齒呼,口唇音,2,1,9
ㄉㄧㄝ,die,齊齒呼,舌尖音,2,2,10
ㄊㄧㄝ,tie,齊齒呼,舌尖音,2,2,10
ㄋㄧㄝ,nie,齊齒呼,舌尖音,2,2,10
ㄌㄧㄝ,lie,齊齒呼,舌尖音,2,2,10
ㄐㄧㄝ,jie,齊齒呼,舌面音,2,4,11
ㄑㄧㄝ,qie,齊齒呼,舌面音,2,4,11
ㄒㄧㄝ,xie,齊齒呼,舌面音,2,4,11
ㄧㄞ,yai,齊齒呼,純韻符,2,0,8
ㄧㄠ,yao,齊齒呼,純韻符,2,0,8
ㄅㄧㄠ,biao,齊齒呼,口唇音,2,1,9
ㄆㄧㄠ,piao,齊齒呼,口唇音,2,1,9
ㄇㄧㄠ,miao,齊齒呼,口唇音,2,1,9
ㄉㄧㄠ,diao,齊齒呼,舌尖音,2,2,10
ㄊㄧㄠ,tiao,齊齒呼,舌尖音,2,2,10
ㄋㄧㄠ,niao,齊齒呼,舌尖音,2,2,10
ㄌㄧㄠ,liao,齊齒呼,舌尖音,2,2,10
ㄐㄧㄠ,jiao,齊齒呼,舌面音,2,4,11
ㄑㄧㄠ,qiao,齊齒呼,舌面音,2,4,11
ㄒㄧㄠ,xiao,齊齒呼,舌面音,2,4,11
ㄧㄡ,you,齊齒呼,純韻符,2,0,8
ㄇㄧㄡ,miu,齊齒呼,口唇音,2,1,9
ㄉㄧㄡ,diu,齊齒呼,舌尖音,2,2,10
ㄋㄧㄡ,niu,齊齒呼,舌尖音,2,2,10
ㄌㄧㄡ,liu,齊齒呼,舌尖音,2,2,10
ㄐㄧㄡ,jiu,齊齒呼,舌面音,2,4,11
ㄑㄧㄡ,qiu,齊齒呼,舌面音,2,4,11
ㄒㄧㄡ,xiu,齊齒呼,舌面音,2,4,11
ㄧㄢ,yan,齊齒呼,純韻符,2,0,8
ㄅㄧㄢ,bian,齊齒呼,口唇音,2,1,9
ㄆㄧㄢ,pian,齊齒呼,口唇音,2,1,9
ㄇㄧㄢ,mian,齊齒呼,口唇音,2,1,9
ㄉㄧㄢ,dian,齊齒呼,舌尖音,2,2,10
ㄊㄧㄢ,tian,齊齒呼,舌尖音,2,2,10
ㄋㄧㄢ,nian,齊齒呼,舌尖音,2,2,10
ㄌㄧㄢ,lian,齊齒呼,舌尖音,2,2,10
ㄐㄧㄢ,jian,齊齒呼,舌面音,2,4,11
ㄑㄧㄢ,qian,齊齒呼,舌面音,2,4,11
ㄒㄧㄢ,xian,齊齒呼,舌面音,2,4,11
ㄧㄣ,yin,齊齒呼,純韻符,2,0,8
ㄅㄧㄣ,bin,齊齒呼,口唇音,2,1,9
ㄆㄧㄣ,pin,齊齒呼,口唇音,2,1,9
ㄇㄧㄣ,min,齊齒呼,口唇音,2,1,9
ㄋㄧㄣ,nin,齊齒呼,舌尖音,2,2,10
ㄌㄧㄣ,lin,齊齒呼,舌尖音,2,2,10
ㄐㄧㄣ,jin,齊齒呼,舌面音,2,4,11
ㄑㄧㄣ,qin,齊齒呼,舌面音,2,4,11
ㄒㄧㄣ,xin,齊齒呼,舌面音,2,4,11
ㄧㄤ,yang,齊齒呼,純韻符,2,0,8
ㄋㄧㄤ,niang,齊齒呼,舌尖音,2,2,10
ㄌㄧㄤ,liang,齊齒呼,舌尖音,2,2,10
ㄐㄧㄤ,jiang,齊齒呼,舌面音,2,4,11
ㄑㄧㄤ,qiang,齊齒呼,舌面音,2,4,11
ㄒㄧㄤ,xiang,齊齒呼,舌面音,2,4,11
ㄧㄥ,ying,齊齒呼,純韻符,2,0,8
ㄅㄧㄥ,bing,齊齒呼,口唇音,2,1,9
ㄆㄧㄥ,ping,齊齒呼,口唇音,2,1,9
ㄇㄧㄥ,ming,齊齒呼,口唇音,2,1,9
ㄉㄧㄥ,ding,齊齒呼,舌尖音,2,2,10
ㄊㄧㄥ,ting,齊齒呼,舌尖音,2,2,10
ㄋㄧㄥ,ning,齊齒呼,舌尖音,2,2,10
ㄌㄧㄥ,ling,齊齒呼,舌尖音,2,2,10
ㄐㄧㄥ,jing,齊齒呼,舌面音,2,4,11
ㄑㄧㄥ,qing,齊齒呼,舌面音,2,4,11
ㄒㄧㄥ,xing,齊齒呼,舌面音,2,4,11
ㄨ,wu,合口呼,純韻符,3,0,12
ㄅㄨ,bu,合口呼,口唇音,3,1,13
ㄆㄨ,pu,合口呼,口唇音,3,1,13
ㄇㄨ,mu,合口呼,口唇音,3,1,13
ㄈㄨ,fu,合口呼,口唇音,3,1,13
ㄉㄨ,du,合口呼,舌尖音,3,2,14
ㄊㄨ,tu,合口呼,舌尖音,3,2,14
ㄋㄨ,nu,合口呼,舌尖音,3,2,14
ㄌㄨ,lu,合口呼,舌尖音,3,2,14
ㄍㄨ,gu,合口呼,舌根音,3,3,15
ㄎㄨ,ku,合口呼,舌根音,3,3,15
ㄏㄨ,hu,合口呼,舌根音,3,3,15
ㄓㄨ,zhu,合口呼,翹舌音,3,5,16
ㄔㄨ,chu,合口呼,翹舌音,3,5,16
ㄕㄨ,shu,合口呼,翹舌音,3,5,16
ㄖㄨ,ru,合口呼,翹舌音,3,5,16
ㄗㄨ,zu,合口呼,平舌音,3,6,17
ㄘㄨ,cu,合口呼,平舌音,3,6,17
ㄙㄨ,su,合口呼,平舌音,3,6,17
ㄨㄚ,wa,合口呼,純韻符,3,0,12
ㄍㄨㄚ,gua,合口呼,舌根音,3,3,15
ㄎㄨㄚ,kua,合口呼,舌根音,3,3,15
ㄏㄨㄚ,hua,合口呼,舌根音,3,3,15
ㄓㄨㄚ,zhua,合口呼,翹舌音,3,5,16
ㄔㄨㄚ,chua,合口呼,翹舌音,3,5,16
ㄕㄨㄚ,shua,合口呼,翹舌音,3,5,16
ㄨㄛ,wo,合口呼,純韻符,3,0,12
ㄉㄨㄛ,duo,合口呼,舌尖音,3,2,14
ㄊㄨㄛ,tuo,合口呼,舌尖音,3,2,14
ㄋㄨㄛ,nuo,合口呼,舌尖音,3,2,14
ㄌㄨㄛ,luo,合口呼,舌尖音,3,2,14
ㄍㄨㄛ,guo,合口呼,舌根音,3,3,15
ㄎㄨㄛ,kuo,合口呼,舌根音,3,3,15
ㄏㄨㄛ,huo,合口呼,舌根音,3,3,15
ㄓㄨㄛ,zhuo,合口呼,翹舌音,3,5,16
ㄔㄨㄛ,chuo,合口呼,翹舌音,3,5,16
ㄕㄨㄛ,shuo,合口呼,翹舌音,3,5,16
ㄖㄨㄛ,ruo,合口呼,翹舌音,3,5,16
ㄗㄨㄛ,zuo,合口呼,平舌音,3,6,17
ㄘㄨㄛ,cuo,合口呼,平舌音,3,6,17
ㄙㄨㄛ,suo,合口呼,平舌音,3,6,17
ㄨㄞ,wai,合口呼,純韻符,3,0,12
ㄍㄨㄞ,guai,合口呼,舌根音,3,3,15
ㄎㄨㄞ,kuai,合口呼,舌根音,3,3,15
ㄏㄨㄞ,huai,合口呼,舌根音,3,3,15
ㄓㄨㄞ,zhuai,合口呼,翹舌音,3,5,16
ㄔㄨㄞ,chuai,合口呼,翹舌音,3,5,16
ㄕㄨㄞ,shuai,合口呼,翹舌音,3,5,16
ㄨㄟ,wei,合口呼,純韻符,3,0,12
ㄉㄨㄟ,dui,合口呼,舌尖音,3,2,14
ㄊㄨㄟ,tui,合口呼,舌尖音,3,2,14
ㄍㄨㄟ,gui,合口呼,舌根音,3,3,15
ㄎㄨㄟ,kui,合口呼,舌根音,3,3,15
ㄏㄨㄟ,hui,合口呼,舌根音,3,3,15
ㄓㄨㄟ,zhui,合口呼,翹舌音,3,5,16
ㄔㄨㄟ,chui,合口呼,翹舌音,3,5,16
ㄕㄨㄟ,shui,合口呼,翹舌音,3,5,16
ㄖㄨㄟ,rui,合口呼,翹舌音,3,5,16
ㄗㄨㄟ,zui,合口呼,平舌音,3,6,17
ㄘㄨㄟ,cui,合口呼,平舌音,3,6,17
ㄙㄨㄟ,sui,合口呼,平舌音,3,6,17
ㄨㄢ,wan,合口呼,純韻符,3,0,12
ㄉㄨㄢ,duan,合口呼,舌尖音,3,2,14
ㄊㄨㄢ,tuan,合口呼,舌尖音,3,2,14
ㄋㄨㄢ,nuan,合口呼,舌尖音,3,2,14
ㄌㄨㄢ,luan,合口呼,舌尖音,3,2,14
ㄍㄨㄢ,guan,合口呼,舌根音,3,3,15
ㄎㄨㄢ,kuan,合口呼,舌根音,3,3,15
ㄏㄨㄢ,huan,合口呼,舌根音,3,3,15
ㄓㄨㄢ,zhuan,合口呼,翹舌音,3,5,16
ㄔㄨㄢ,chuan,合口呼,翹舌音,3,5,16
ㄕㄨㄢ,shuan,合口呼,翹舌音,3,5,16
ㄖㄨㄢ,ruan,合口呼,翹舌音,3,5,16
ㄗㄨㄢ,zuan,合口呼,平舌音,3,6,17
ㄘㄨㄢ,cuan,合口呼,平舌音,3,6,17
ㄙㄨㄢ,suan,合口呼,平舌音,3,6,17
ㄨㄣ,wen,合口呼,純韻符,3,0,12
ㄉㄨㄣ,dun,合口呼,舌尖音,3,2,14
ㄊㄨㄣ,tun,合口呼,舌尖音,3,2,14
ㄌㄨㄣ,lun,合口呼,舌尖音,3,2,14
ㄍㄨㄣ,gun,合口呼,舌根音,3,3,15
ㄎㄨㄣ,kun,合口呼,舌根音,3,3,15
ㄏㄨㄣ,hun,合口呼,舌根音,3,3,15
ㄓㄨㄣ,zhun,合口呼,翹舌音,3,5,16
ㄔㄨㄣ,chun,合口呼,翹舌音,3,5,16
ㄕㄨㄣ,shun,合口呼,翹舌音,3,5,16
ㄖㄨㄣ,run,合口呼,翹舌音,3,5,16
ㄗㄨㄣ,zun,合口呼,平舌音,3,6,17
ㄘㄨㄣ,cun,合口呼,平舌音,3,6,17
ㄙㄨㄣ,sun,合口呼,平舌音,3,6,17
ㄨㄤ,wang,合口呼,純韻符,3,0,12
ㄍㄨㄤ,guang,合口呼,舌根音,3,3,15
ㄎㄨㄤ,kuang,合口呼,舌根音,3,3,15
ㄏㄨㄤ,huang,合口呼,舌根音,3,3,15
ㄓㄨㄤ,zhuang,合口呼,翹舌音,3,5,16
ㄔㄨㄤ,chuang,合口呼,翹舌音,3,5,16
ㄕㄨㄤ,shuang,合口呼,翹舌音,3,5,16
ㄨㄥ,weng,合口呼,純韻符,3,0,12
ㄉㄨㄥ,dong,合口呼,舌尖音,3,2,14
ㄊㄨㄥ,tong,合口呼,舌尖音,3,2,14
ㄋㄨㄥ,nong,合口呼,舌尖音,3,2,14
ㄌㄨㄥ,long,合口呼,舌尖音,3,2,14
ㄍㄨㄥ,gong,合口呼,舌根音,3,3,15
ㄎㄨㄥ,kong,合口呼,舌根音,3,3,15
ㄏㄨㄥ,hong,合口呼,舌根音,3,3,15
ㄓㄨㄥ,zhong,合口呼,翹舌音,3,5,16
ㄔㄨㄥ,chong,合口呼,翹舌音,3,5,16
ㄖㄨㄥ,rong,合口呼,翹舌音,3,5,16
ㄗㄨㄥ,zong,合口呼,平舌音,3,6,17
ㄘㄨㄥ,cong,合口呼,平舌音,3,6,17
ㄙㄨㄥ,song,合口呼,平舌音,3,6,17
ㄩ,yu,撮口呼,純韻符,4,0,18
ㄋㄩ,nv,撮口呼,舌尖音,4,2,19
ㄌㄩ,lv,撮口呼,舌尖音,4,2,19
ㄐㄩ,ju,撮口呼,舌面音,4,4,20
ㄑㄩ,qu,撮口呼,舌面音,4,4,20
ㄒㄩ,xu,撮口呼,舌面音,4,4,20
ㄩㄝ,yue,撮口呼,純韻符,4,0,18
ㄋㄩㄝ,nve,撮口呼,舌尖音,4,2,19
ㄌㄩㄝ,lve,撮口呼,舌尖音,4,2,19
ㄐㄩㄝ,jue,撮口呼,舌面音,4,4,20
ㄑㄩㄝ,que,撮口呼,舌面音,4,4,20
ㄒㄩㄝ,xue,撮口呼,舌面音,4,4,20
ㄩㄢ,yuan,撮口呼,純韻符,4,0,18
ㄐㄩㄢ,juan,撮口呼,舌面音,4,4,20
ㄑㄩㄢ,quan,撮口呼,舌面音,4,4,20
ㄒㄩㄢ,xuan,撮口呼,舌面音,4,4,20
ㄩㄣ,yun,撮口呼,純韻符,4,0,18
ㄐㄩㄣ,jun,撮口呼,舌面音,4,4,20
ㄑㄩㄣ,qun,撮口呼,舌面音,4,4,20
ㄒㄩㄣ,xun,撮口呼,舌面音,4,4,20
ㄩㄥ,yong,撮口呼,純韻符,4,0,18
ㄐㄩㄥ,jiong,撮口呼,舌面音,4,4,20
ㄑㄩㄥ,qiong,撮口呼,舌面音,4,4,20
ㄒㄩㄥ,xiong,撮口呼,舌面音,4,4,20
